YEAR;MO;DY;T2M;TS;PRECTOTCORR;QV2M;RH2M;WS10M;ALLSKY_SFC_UV_INDEX;PS;;T2M;TS;PRECTOTCORR;T2M;TS;PRECTOTCORR;QV2M;QV2M_PRED
2011;1;1;26.98;27.62;0.19;18.25;82.44;7.63;2.02;100.77;;;;;;;;;
2011;1;2;26.79;27.45;0.13;17.64;80.31;9.02;2.09;100.72;;;;;;;;;
2011;1;3;26.72;27.4;0.17;17.52;80.12;9.64;1.98;100.63;;;;;;;;;
2011;1;4;26.64;27.45;0.1;17.64;81.12;9.27;1.98;100.73;;;;;;;;;
2011;1;5;26.93;27.79;0.12;17.52;79.44;7.12;1.91;100.79;;;;;;;;;
2011;1;6;26.96;27.87;0.15;18.13;81.88;5.22;1.87;100.7;;;;;;;;;
2011;1;7;26.75;27.31;0.19;18.37;83.75;6.51;1.27;100.71;;;;;;;;;
2011;1;8;26.83;27.55;0.07;18.62;84.31;5.5;1.66;100.71;;;;;;;;;
2011;1;9;27.34;27.38;0.32;19.23;84.62;4.58;1.58;100.65;;;;;;;;;
2011;1;10;27.24;27.65;0.29;19.53;86.44;5.86;1.88;100.66;;;;;;;;;
2011;1;11;27.12;27.55;0.01;19.04;85.12;6.88;2.01;100.69;;;;;;;;;
2011;1;12;27.19;28.01;0;17.88;79.94;7.06;2.12;100.61;;;;;;;;;
2011;1;13;27.17;27.97;0;18.62;83;6.49;2.1;100.66;;;;;;;;;
2011;1;14;27.33;28.1;0;18.92;83.69;5.45;1.9;100.66;;;;;;;;;
2011;1;15;27.29;27.93;0.02;18.98;84.06;5.75;1.86;100.62;;;;;;;;;
2011;1;16;26.91;27.4;0.35;18.86;85.12;5.62;1.94;100.59;;;;;;;;;
2011;1;17;26.78;27.37;0.1;18.55;84.5;4.79;1.83;100.68;;;;;;;;;
2011;1;18;27.36;28.19;0;18.49;81.81;4.8;1.95;100.67;;;;;;;;;
2011;1;19;27.27;28.01;0.01;18.55;82.44;5.69;1.87;100.76;;;;;;;;;
2011;1;20;27.08;28.02;0.02;17.94;80.5;5.88;1.95;100.71;;;;;;;;;
2011;1;21;26.76;27.92;0.01;17.46;79.75;6.1;2.08;100.65;;;;;;;;;
2011;1;22;26.8;28.07;0.02;18.01;81.94;4.29;2.01;100.69;;;;;;;;;
2011;1;23;27.34;28.33;0.24;18.13;80.19;6.33;2;100.71;;;;;;;;;
2011;1;24;27.3;28.14;0.36;18.13;80.44;7.66;2.12;100.7;;;;;;;;;
2011;1;25;27.25;28.46;0;17.4;77.62;6.16;2.08;100.66;;;;;;;;;
2011;1;26;27.05;28.22;0.01;17.76;80.06;4.88;2.02;100.71;;;;;;;;;
2011;1;27;27.25;28.39;0.08;18.01;80.25;5.66;2.02;100.77;;;;;;;;;
2011;1;28;27.18;28.44;0.03;17.94;80.38;6.28;2.04;100.82;;;;;;;;;
2011;1;29;27.08;28.08;0;17.27;77.81;8.92;2.11;100.96;;;;;;;;;
2011;1;30;26.94;28.12;0.13;17.52;79.75;7.2;2.07;100.97;;;;;;;;;
2011;1;31;26.98;28.17;0.01;17.7;80.19;6.01;2.13;100.93;;;;;;;;;
2011;2;1;27.19;28.17;0.01;17.58;78.69;7.43;2.27;100.78;;;;;;;;;
2011;2;2;27.4;28.36;0;17.82;79.12;7.39;2.2;100.78;;;;;;;;;
2011;2;3;27.05;28.12;0.11;17.58;79.5;8.84;2.35;100.78;;;;;;;;;
2011;2;4;26.69;28.01;0.03;16.6;76.75;8;2.27;100.7;;;;;;;;;
2011;2;5;26.44;27.94;0;16.42;76.81;7.07;2.28;100.64;;;;;;;;;
2011;2;6;26.82;28.21;0;16.97;77.62;6.52;2.29;100.68;;;;;;;;;
2011;2;7;27.41;28.79;0.02;17.46;77.69;5.12;2.16;100.83;;;;;;;;;
2011;2;8;27.27;28.76;0.2;17.76;79.38;6.22;2.2;100.94;;;;;;;;;
2011;2;9;27.3;28.99;0.06;17.52;78;5.95;2.33;100.76;;;;;;;;;
2011;2;10;27.37;29.23;0.03;17.64;77.88;5.78;2.16;100.68;;;;;;;;;
2011;2;11;27.51;29.23;0.03;17.52;76.88;7.4;2.25;100.76;;;;;;;;;
2011;2;12;27.45;29.07;0.03;18.19;80.06;7.72;2.21;100.85;;;;;;;;;
2011;2;13;27.22;28.65;0.14;18.07;80.69;9.2;2.21;100.88;;;;;;;;;
2011;2;14;27.09;28.12;1.29;17.82;79.94;9.06;2.2;100.88;;;;;;;;;
2011;2;15;27.07;28.29;1.67;17.88;80.38;9.17;2.16;100.84;;;;;;;;;
2011;2;16;27.15;28.29;3.89;18.25;81.56;7.4;2.22;100.83;;;;;;;;;
2011;2;17;27.14;28.59;1.69;17.58;78.88;7.35;2.24;100.89;;;;;;;;;
2011;2;18;26.94;28.47;0.01;17.09;77.56;8.73;2.42;100.91;;;;;;;;;
2011;2;19;26.74;28.23;0.02;16.78;77;8.54;2.45;100.84;;;;;;;;;
